Content,Video title,Video publish time,Duration,Thumbnail impressions,Thumbnail click-through rate (%),Views,Average view duration,Watch time (hours)
Total,,,,2732704,5.78,1211975,0:00:15,3227.095
M1G92FWmdJw,KATSEYE (캣츠아이) 'Hootie Frutti' Official Dance Cover #katseye #katseye_hootiefrutti #kpop #fypシ゚viral,"Aug 14, 2026",19,1390823,6.23,476326,0:00:14,1272.06
Otu-5CrcWHo,KATSEYE (캣츠아이) 'Hootie Frutti' Dance Challenge #katseye #eyekons #shorts #ayodesci #kpop #fypシ゚viral,"Aug 21, 2026",16,432852,5.87,146175,0:00:13,355.4984
wJph6fDaJuk,@katseyeworld ‘Hootie Frutti’(캣츠아이) Dance Practice #캣츠아이 #hootiefrutti #katseye #ayodesci #fypviralシ,"Aug 17, 2026",28,240167,5.78,109588,0:00:16,369.5183
jQJqh-zTZQA,‘Pink Blush’ Original Dance for@PrincessDollyBabe 💘 #pinkblush #princessdollybabe #trending #fypシ゚,"Aug 11, 2026",16,169067,7.1,89732,0:00:13,196.5451
KBr9Y0ljCXQ,K-pop in Public @katseyeworld 🍒🍉#hootiefrutti #katseye #katseye_hootiefrutti #fypシ゚viral,"Aug 18, 2026",27,35262,3.39,29275,0:00:19,106.4151
fAiPRcwv2FM,KATSEYE 'Hootie Frutti' Official Dance (K-Pop in Public Airport Edition!) ✈️ @katseyeworld #eyekons,"Aug 14, 2026",16,52488,1.63,20710,0:00:16,51.0916
TOwnshDLyE4,HIT 'EM WHERE IT HURTS 🥊💋@MEOVV_OFFICIAL  #fypシ゚viral #shorts #kpop #dance #tiktok #foryou,"Jul 25, 2026",16,8634,6.36,18176,0:00:16,45.7081
Qnd81duBOWs,now ‘LEMON TANG’ #fyp #ayodesci #fypviralシ #trendingshorts #youtubeshorts,"Aug 5, 2026",16,4026,4.77,15642,0:00:15,39.0936
8kGmSFkvYNg,KATSEYE 'Gnarly' GRAMMY Dance Break Cover 🏆🔥 #ayodesci #katseye #gnarlykatseye,"Aug 9, 2026",16,26455,2.76,14898,0:00:13,34.3069
FNwedjt2qxE,'Iconic By Mistake' @katseyeworld @ILLIT_official @LESSERAFIM_official #shorts #trending,"Aug 19, 2026",23,22274,4.66,14401,0:00:18,39.2961
RY7faXxu30M,I remade my KATSEYE 'Hootie Frutti' dance & hit it 10x harder 🌸✨ #fypシ゚viral #katseye #eyekons #fyp,"Aug 12, 2026",21,30923,8.37,14211,0:00:17,42.1399
kovzJu_e40Y,KATSEYE - ‘Gabriella’ Dance Challenge Cover #katseye #fypviralシ  #shorts,"Aug 2, 2026",16,3794,3.08,12700,0:00:14,29.6045
3Vvm0pSGZe4,‘Hootie Frutti’ x ‘RED RED’ Does the Mashup Work 🤯👂🏻#cortis #katseye #fypviralシ #trending #kpop,"Aug 19, 2026",31,2625,4.42,11293,0:00:16,35.7873
1FPNeSh391Q,Kpop in Public ​⁠ ‘Lemon Tang’ @hearts2hearts.official Rate my Dance 🫰🍋,"Aug 20, 2026",15,13127,1.44,10333,0:00:14,22.8693
EIABt-hqB98,I couldn't wait for KATSEYE's 'Hootie Frutti' so I made my own dance 🥥✨ #fypシ゚viral #katseye #wild,"Aug 12, 2026",16,11225,9.21,10127,0:00:17,29.0164
Y_kAIYT08AM,Wait...this ‘Pinky Up’ CupcakKe remix is actually taking over TikTok 💀🔥 #illit #cupcakke #trending,"Aug 20, 2026",14,25197,6.61,9767,0:00:14,23.1058
cwrkhuGlPhw,FREAKED OUT #trending #fypviralジ #shorts,"Jul 29, 2026",12,1492,3.82,9669,0:00:17,21.7585
BV678YonplY,Original Choreo for 'Hootie Frutti' by KATSEYE! 🍉✨#katseye #trending #ayodesci #kpop,"Aug 13, 2026",16,8643,8.67,9382,0:00:14,23.2587
Cae36HBimvk,KATSET WHEN??? #kpop #katseye #girlset #fypシ゚viral #kpopviral,"Jul 27, 2026",16,1968,4.83,8873,0:00:12,17.8595
TYxj0h2bXQA,don’t you feel like an 'Animal' 😭💀 @katseyeworld #katseye #ayodesci #katseye #fypシ゚viral,"Aug 5, 2026",31,2417,4.8,8862,0:00:19,32.5381
eCX5g1G9rOo,YOU WANTED MORE GNARLY? #katseye #dance #shorts,"Aug 1, 2026",33,8100,2.35,7026,0:00:15,19.3854
W9pFqPiPyfo,don’t forget KATSEYE is SIX 🙈💖 FREE MANON #ayodesci #trending #dancecover #shorts #fypシ゚viral,"Aug 25, 2026",23,1037,16.39,6780,0:00:17,21.2676
jjacfuqRNYw,Does the 'Hootie Frutti' choreo fit the leaked KATSEYE 'Juice' demo better?! 😳🔥#ayodesci #ayosden,"Aug 17, 2026",27,5263,4.22,6084,0:00:15,17.6654
cI-5KgzkQRU,JUST SAY IM YOUR FAV 🤭 ILLIT 'ITS ME' Choreo ✨ #trending #youtubeshorts #illit #ayodesci #kpop,"Aug 6, 2026",29,6253,3.61,5853,0:00:18,19.7355
xpnKCc1QMms,Trying KATSEYE “Hootie Frutti” Dance In Public 🙈✨#dancecover #shorts #trending #ayodesci,"Aug 26, 2026",30,12013,2.74,5717,0:00:16,18.5459
Nkcob--PgG0,‘ITS ME’ ILLIT DANCE@ILLIT_official #ayodesci #youtubeshorts #fypviralviral #trending #illit #shorts,"Aug 6, 2026",26,3207,3.74,5673,0:00:16,16.4837
EnOGp7nGe6M,LOVE SO GOOD HOW COULD THIS BE FREE?! ❤️‍🔥 #fypシ゚ #katseye #animal #trending #viral,"Aug 1, 2026",35,3261,3.28,5509,0:00:17,18.7508
P6_SGGEjdh4,A Crossover you never expected 🤯#fypシ゚viral #illit @OfficialCupcakKe @ILLIT_official @katseyeworld,"Aug 14, 2026",14,3929,4.28,5433,0:00:13,11.9843
X-pQT2s0FTs,iconic by mistake dani dance,"Jul 15, 2026",21,905,2.76,5320,0:00:13,9.2031
l4wku0d1xuU,KATSEYE 'Touch’ (캣츠아이) K-POP IN PUBLIC Dance 🍓#캣츠아이 #katseye_touch #dancecover #dance #ayodesci,"Aug 24, 2026",23,29790,0.65,5187,0:00:14,11.6642
2mwAnf-LpKg,i ate this Gabriela choreo until the last 3 seconds...🫣#katseye #kpop #katseye #trending #concert,"Aug 5, 2026",30,2403,2.33,5081,0:00:17,14.1876
y-M7rb4ADOY,KATSEYE ‘ANIMAL’ Dance Cover! (Subscriber Requested) 🐾🔥 #shorts #katseye @katseyeworld,"Jul 29, 2026",31,1775,1.52,4904,0:00:13,10.0886
wAtOUwGFPpE,like a bag of takis 🥰 #ayodesci #trending #katseye,"Aug 11, 2026",14,2713,4.09,4861,0:00:13,10.9532
llfRTswwpkg,Hootie Frutti 🍒🍓 #trending #dancecover #reels #tiktokdance #fypシ #ayodesci,"Aug 27, 2026",19,2120,8.73,4347,0:00:17,12.3138
qXDeWbEdTJY,KATSEYE 'Gnarly' (Extended Version) Dance Break #ayodesci #katseye #eyekons,"Aug 17, 2026",16,4751,5.94,4290,0:00:11,7.4633
wQjxs33l2B0,‘Milkshake’ @katseyeworld x @Gap  ‘Better in Denim’ Dance Challenge #ayodesci #fypシ゚viral #katseye,"Aug 19, 2026",19,2646,5.44,4160,0:00:12,10.0253
ozBKqWCcNok,Skipped class to hit the KATSEYE Gap dance and ran into another EYEKON✨🤫#shorts #trending #dance,"Aug 19, 2026",13,2422,3.34,4121,0:00:11,7.0603
bSP8RC035gQ,KATSEYE Gap Ad 1-Year Anniversary!  🥹👖 @Gap X @katseyeworld  #shorts #trending #katseye #ayodesci,"Aug 21, 2026",18,3611,4.38,3894,0:00:13,8.2759
QTHKop3PrqY,KATSEYE - ANIMAL Choreography Cover 🐾✨ #katseye #manon #shorts,"Aug 4, 2026",31,1226,7.91,3413,0:00:18,12.0458
7H9n0-YyPv8,Saint Satine 'We Ride' Dance Cover 🚗💨 #ayodesci #saintsatine  #weride,"Aug 8, 2026",16,3639,4.04,3366,0:00:15,7.269
j9AEvz_y_ds,AESPA 'SWITCHBLADE' AYODESCI VIRAL DANCE 🗡️✨ #ayodesci #aespa #switchblade,"Aug 2, 2026",16,2684,5.33,3277,0:00:14,6.5719
jvSsXgktrfs,"""I wanna put you in my life..."" 💫 Wizkid x Drake ""Come Closer""  #shorts #wizkid #drake #fypシ゚viral","Jul 22, 2026",14,6209,9.65,3266,0:00:15,8.3553
W1m4nty5eYA,‘Hootie Frutti’ @katseyeworld Dance Practice Tutorial #ayodesci #katseye_hootiefrutti #eyekons,"Aug 16, 2026",100,6740,8.56,2996,0:00:33,20.7399
D5on1mSycMw,MOTION CORTIS DANCE CHALLENGE #에픽하이 #타블로  #cortis  #코르티스  #cortis_motion,"Aug 5, 2026",20,11713,5.42,2710,0:00:14,7.9061
8JHnjD3UfwE,I’ll make you ‘Lemonade’ ​⁠🍋💦@aespa  #ayodesci #dance #kpop #æspa,"Aug 3, 2026",14,3591,1.67,2469,0:00:09,4.2503
WYCHs2gB4R4,⁠ 'CHAT' GIRLSET K-pop in Public (Wait for the 🦋 at 0:22) @GIRLSET #girlset #chat #girlgroupkpop,"Aug 13, 2026",30,10467,1.34,2444,0:00:17,6.3332
ZioNc-eEAXA,KATSEYE World Dance Roulette 🔪🎡 #eyekons #dance #trending #dancecover #shorts  @katseyeworld,"Aug 26, 2026",60,2243,3.43,2436,0:00:23,9.4579
wYUBYAW_9cc,Bad Thing Bunny Hop - Ariana Grande 'Petal' Tiktok Dance Cover🐰✨#trendingshorts #dance #fypシ゚viral,"Aug 7, 2026",16,10246,3.84,2383,0:00:10,3.5833
9uYgwcxuJpA,the new @aespa 'Switchblade' MV is out and you KNOW I had to hit this 😮‍💨#aespa #trending #shorts,"Aug 4, 2026",16,6722,2.65,2343,0:00:11,3.4256
rgKMv66SNP4,My pretty go when I'm in the chat 🗣️✨ GIRLSET Dance #short #kpopdance #dancecover #fypシ゚viral,"Jul 24, 2026",16,519,0.58,2160,0:00:11,3.6577
