Timestamp,Log Type,Message,Comment ID,Sanitized Query,Category,Intent,Energy,Verdict,HTTP Status
2026-08-29T19:57:00.515339Z,Stdout,"INFO:     169.254.169.126:57730 - ""GET /favicon.ico HTTP/1.1"" 404 Not Found",,,,,,,
2026-08-29T19:57:00.129639Z,Stdout,"INFO:     169.254.169.126:57716 - ""GET /api/memory/synthetic HTTP/1.1"" 200 OK",,,,,,,
2026-08-29T19:57:00.112123Z,Stdout,"INFO:     169.254.169.126:57710 - ""GET /api/governance/armor HTTP/1.1"" 200 OK",,,,,,,
2026-08-29T19:57:00.111834Z,Stdout,"INFO:     169.254.169.126:57696 - ""GET /api/metrics/triad HTTP/1.1"" 200 OK",,,,,,,
2026-08-29T19:57:00.110634Z,Stdout,"INFO:     169.254.169.126:57686 - ""GET /api/ledger/council HTTP/1.1"" 200 OK",,,,,,,
2026-08-29T19:56:59.924295Z,Stdout,"INFO:     169.254.169.126:57678 - ""GET /ayochatreveal.png HTTP/1.1"" 404 Not Found",,,,,,,
2026-08-29T19:56:59.654243Z,Stdout,"INFO:     169.254.169.126:14788 - ""GET /api/health HTTP/1.1"" 200 OK",,,,,,,
2026-08-29T19:56:59.640215Z,Stdout,"INFO:     169.254.169.126:14780 - ""GET / HTTP/1.1"" 200 OK",,,,,,,
2026-08-29T19:56:59.532816Z,Stdout,"Default STARTUP TCP probe succeeded after 1 attempt for container ""yt-ayochat-1"" on port 8080.",,,,,,,
2026-08-29T19:56:59.532365Z,Stdout,INFO:     Uvicorn running on http://0.0.0.0:8080 (Press CTRL+C to quit),,,,,,,
2026-08-29T19:56:59.530469Z,Stdout,INFO:     Application startup complete.,,,,,,,
2026-08-29T19:56:59.529606Z,Stdout,INFO:     Waiting for application startup.,,,,,,,
2026-08-29T19:56:59.529561Z,Stdout,INFO:     Started server process [2],,,,,,,
2026-08-29T19:56:54.193409Z,Stdout,"/root/.cache/chroma/onnx_models/all-MiniLM-L6-v2/onnx.tar.gz: 100%|██████████| 79.3M/79.3M [00:01<00:00, 49.5MiB/s]",,,,,,,
2026-08-29T19:56:54.193392Z,Stdout,"/root/.cache/chroma/onnx_models/all-MiniLM-L6-v2/onnx.tar.gz:  94%|█████████▍| 74.5M/79.3M [00:01<00:00, 56.6MiB/s]",,,,,,,
2026-08-29T19:56:54.111070Z,Stdout,"/root/.cache/chroma/onnx_models/all-MiniLM-L6-v2/onnx.tar.gz:  87%|████████▋ | 68.9M/79.3M [00:01<00:00, 56.0MiB/s]",,,,,,,
2026-08-29T19:56:54.010987Z,Stdout,"/root/.cache/chroma/onnx_models/all-MiniLM-L6-v2/onnx.tar.gz:  79%|███████▉  | 62.8M/79.3M [00:01<00:00, 52.9MiB/s]",,,,,,,
2026-08-29T19:56:53.909788Z,Stdout,"/root/.cache/chroma/onnx_models/all-MiniLM-L6-v2/onnx.tar.gz:  73%|███████▎  | 57.6M/79.3M [00:01<00:00, 52.7MiB/s]",,,,,,,
2026-08-29T19:56:53.809550Z,Stdout,"/root/.cache/chroma/onnx_models/all-MiniLM-L6-v2/onnx.tar.gz:  65%|██████▍   | 51.4M/79.3M [00:01<00:00, 48.9MiB/s]",,,,,,,
2026-08-29T19:56:53.704281Z,Stdout,"/root/.cache/chroma/onnx_models/all-MiniLM-L6-v2/onnx.tar.gz:  58%|█████▊    | 46.3M/79.3M [00:01<00:00, 47.2MiB/s]",,,,,,,
2026-08-29T19:56:53.604218Z,Stdout,"/root/.cache/chroma/onnx_models/all-MiniLM-L6-v2/onnx.tar.gz:  52%|█████▏    | 40.9M/79.3M [00:00<00:00, 56.3MiB/s]",,,,,,,
2026-08-29T19:56:53.440251Z,Stdout,"/root/.cache/chroma/onnx_models/all-MiniLM-L6-v2/onnx.tar.gz:  45%|████▍     | 35.5M/79.3M [00:00<00:00, 56.5MiB/s]",,,,,,,
2026-08-29T19:56:53.338390Z,Stdout,"/root/.cache/chroma/onnx_models/all-MiniLM-L6-v2/onnx.tar.gz:  37%|███▋      | 29.2M/79.3M [00:00<00:01, 52.1MiB/s]",,,,,,,
2026-08-29T19:56:53.238133Z,Stdout,"/root/.cache/chroma/onnx_models/all-MiniLM-L6-v2/onnx.tar.gz:  30%|███       | 24.0M/79.3M [00:00<00:01, 52.0MiB/s]",,,,,,,
2026-08-29T19:56:53.133462Z,Stdout,"/root/.cache/chroma/onnx_models/all-MiniLM-L6-v2/onnx.tar.gz:  23%|██▎       | 18.1M/79.3M [00:00<00:01, 47.5MiB/s]",,,,,,,
2026-08-29T19:56:53.035608Z,Stdout,"/root/.cache/chroma/onnx_models/all-MiniLM-L6-v2/onnx.tar.gz:  16%|█▌        | 12.4M/79.3M [00:00<00:01, 40.3MiB/s]",,,,,,,
2026-08-29T19:56:52.933386Z,Stdout,"/root/.cache/chroma/onnx_models/all-MiniLM-L6-v2/onnx.tar.gz:   8%|▊         | 6.47M/79.3M [00:00<00:02, 27.1MiB/s]",,,,,,,
2026-08-29T19:56:52.833252Z,Stdout,"/root/.cache/chroma/onnx_models/all-MiniLM-L6-v2/onnx.tar.gz:   2%|▏         | 1.40M/79.3M [00:00<00:10, 7.49MiB/s]",,,,,,,
2026-08-29T19:56:52.733478Z,Stdout,"/root/.cache/chroma/onnx_models/all-MiniLM-L6-v2/onnx.tar.gz:   0%|          | 155k/79.3M [00:00<00:55, 1.49MiB/s]",,,,,,,
2026-08-29T19:56:52.618616Z,Stdout,"/root/.cache/chroma/onnx_models/all-MiniLM-L6-v2/onnx.tar.gz:   0%|          | 0.00/79.3M [00:00<?, ?iB/s]",,,,,,,
2026-08-29T19:56:41.250223Z,Stdout,"Starting new instance. Reason: AUTOSCALING - Instance started due to configured scaling factors (e.g. CPU utilization, request throughput, etc.) or no existing capacity for current traffic.",,,,,,,
2026-08-29T14:46:52.593435Z,Stdout,"INFO:     169.254.169.126:32128 - ""GET /api/health HTTP/1.1"" 200 OK",,,,,,,
2026-08-29T14:46:52.540878Z,Stdout,"Default STARTUP TCP probe succeeded after 1 attempt for container ""yt-ayochat-1"" on port 8080.",,,,,,,
2026-08-29T14:46:52.540496Z,Stdout,INFO:     Uvicorn running on http://0.0.0.0:8080 (Press CTRL+C to quit),,,,,,,
2026-08-29T14:46:52.539043Z,Stdout,INFO:     Application startup complete.,,,,,,,
2026-08-29T14:46:52.538242Z,Stdout,INFO:     Waiting for application startup.,,,,,,,
2026-08-29T14:46:52.538171Z,Stdout,INFO:     Started server process [2],,,,,,,
2026-08-29T14:46:47.595138Z,Stdout,"/root/.cache/chroma/onnx_models/all-MiniLM-L6-v2/onnx.tar.gz: 100%|██████████| 79.3M/79.3M [00:01<00:00, 54.7MiB/s]",,,,,,,
2026-08-29T14:46:47.595124Z,Stdout,"/root/.cache/chroma/onnx_models/all-MiniLM-L6-v2/onnx.tar.gz:  93%|█████████▎| 73.8M/79.3M [00:01<00:00, 63.9MiB/s]",,,,,,,
2026-08-29T14:46:47.507487Z,Stdout,"/root/.cache/chroma/onnx_models/all-MiniLM-L6-v2/onnx.tar.gz:  85%|████████▌ | 67.5M/79.3M [00:01<00:00, 62.8MiB/s]",,,,,,,
2026-08-29T14:46:47.407477Z,Stdout,"/root/.cache/chroma/onnx_models/all-MiniLM-L6-v2/onnx.tar.gz:  78%|███████▊  | 61.5M/79.3M [00:01<00:00, 63.0MiB/s]",,,,,,,
2026-08-29T14:46:47.305736Z,Stdout,"/root/.cache/chroma/onnx_models/all-MiniLM-L6-v2/onnx.tar.gz:  69%|██████▉   | 55.0M/79.3M [00:01<00:00, 60.8MiB/s]",,,,,,,
2026-08-29T14:46:47.205654Z,Stdout,"/root/.cache/chroma/onnx_models/all-MiniLM-L6-v2/onnx.tar.gz:  62%|██████▏   | 48.9M/79.3M [00:01<00:00, 60.9MiB/s]",,,,,,,
2026-08-29T14:46:47.101512Z,Stdout,"/root/.cache/chroma/onnx_models/all-MiniLM-L6-v2/onnx.tar.gz:  54%|█████▍    | 42.9M/79.3M [00:00<00:00, 59.7MiB/s]",,,,,,,
2026-08-29T14:46:47.001484Z,Stdout,"/root/.cache/chroma/onnx_models/all-MiniLM-L6-v2/onnx.tar.gz:  47%|████▋     | 37.2M/79.3M [00:00<00:00, 59.8MiB/s]",,,,,,,
2026-08-29T14:46:46.900569Z,Stdout,"/root/.cache/chroma/onnx_models/all-MiniLM-L6-v2/onnx.tar.gz:  39%|███▉      | 30.8M/79.3M [00:00<00:00, 56.6MiB/s]",,,,,,,
2026-08-29T14:46:46.800764Z,Stdout,"/root/.cache/chroma/onnx_models/all-MiniLM-L6-v2/onnx.tar.gz:  31%|███       | 24.7M/79.3M [00:00<00:01, 53.4MiB/s]",,,,,,,
2026-08-29T14:46:46.700168Z,Stdout,"/root/.cache/chroma/onnx_models/all-MiniLM-L6-v2/onnx.tar.gz:  23%|██▎       | 18.5M/79.3M [00:00<00:01, 47.4MiB/s]",,,,,,,
2026-08-29T14:46:46.600238Z,Stdout,"/root/.cache/chroma/onnx_models/all-MiniLM-L6-v2/onnx.tar.gz:  16%|█▌        | 12.4M/79.3M [00:00<00:01, 40.5MiB/s]",,,,,,,
2026-08-29T14:46:46.491676Z,Stdout,"/root/.cache/chroma/onnx_models/all-MiniLM-L6-v2/onnx.tar.gz:   8%|▊         | 6.61M/79.3M [00:00<00:02, 28.2MiB/s]",,,,,,,
2026-08-29T14:46:46.391680Z,Stdout,"/root/.cache/chroma/onnx_models/all-MiniLM-L6-v2/onnx.tar.gz:   2%|▏         | 1.39M/79.3M [00:00<00:10, 7.63MiB/s]",,,,,,,
2026-08-29T14:46:46.291777Z,Stdout,"/root/.cache/chroma/onnx_models/all-MiniLM-L6-v2/onnx.tar.gz:   0%|          | 147k/79.3M [00:00<00:57, 1.44MiB/s]",,,,,,,
2026-08-29T14:46:46.180959Z,Stdout,"/root/.cache/chroma/onnx_models/all-MiniLM-L6-v2/onnx.tar.gz:   0%|          | 0.00/79.3M [00:00<?, ?iB/s]",,,,,,,
2026-08-29T14:46:35.528562Z,Stdout,"Starting new instance. Reason: AUTOSCALING - Instance started due to configured scaling factors (e.g. CPU utilization, request throughput, etc.) or no existing capacity for current traffic.",,,,,,,
